# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
2.110000000000000070e-02 3.351828438186210124e-01
4.209999999999999853e-02 1.298487041740525649e+00
6.320000000000000617e-02 2.953115192439392356e+00
8.419999999999999707e-02 5.271845953116939931e+00
1.053000000000000047e-01 8.167577184261119783e+00
1.264000000000000123e-01 1.181094185714505329e+01
1.474000000000000032e-01 1.611263177844959316e+01
1.685000000000000109e-01 2.109247356438072885e+01
1.895000000000000018e-01 2.655067951009020888e+01
2.106000000000000094e-01 3.284544756893493656e+01
2.316000000000000003e-01 3.978974625329697545e+01
2.526999999999999802e-01 4.741658055063559374e+01
2.737999999999999878e-01 5.570793079131993153e+01
2.948000000000000065e-01 6.464218710839919879e+01
3.159000000000000141e-01 7.456596040786261881e+01
3.368999999999999773e-01 8.514784012149340242e+01
3.579999999999999849e-01 9.612724982515391048e+01
3.790999999999999925e-01 1.081334782982430056e+02
4.001000000000000112e-01 1.207857145286402556e+02
4.212000000000000188e-01 1.337787716442093426e+02
4.421999999999999820e-01 1.486324959504137553e+02
4.632999999999999896e-01 1.629915271753099262e+02
4.843000000000000083e-01 1.793221774812248270e+02
5.053999999999999604e-01 1.959894620769247240e+02
5.264999999999999680e-01 2.138690065888504535e+02
5.474999999999999867e-01 2.309416072669085906e+02
5.685999999999999943e-01 2.502863008564346785e+02
5.896000000000000130e-01 2.708771126658357957e+02
6.107000000000000206e-01 2.917531985762169597e+02
6.318000000000000282e-01 3.139914173368006800e+02
6.528000000000000469e-01 3.369304012762661955e+02
6.739000000000000545e-01 3.607150657630377850e+02
6.948999999999999622e-01 3.858856815331857888e+02
7.159999999999999698e-01 4.119383868075945543e+02
7.370999999999999774e-01 4.380883649989461901e+02
7.580999999999999961e-01 4.663721961022631035e+02
7.792000000000000037e-01 4.962626841865151732e+02
8.002000000000000224e-01 5.269773706814446541e+02
8.213000000000000300e-01 5.594015478178331477e+02
8.423000000000000487e-01 5.911048534022025933e+02
8.633999999999999453e-01 6.260931692332206921e+02
8.844999999999999529e-01 6.620186730618224829e+02
9.054999999999999716e-01 6.996042694460812754e+02
9.265999999999999792e-01 7.382447539548414852e+02
9.475999999999999979e-01 7.786387599694676283e+02
9.687000000000000055e-01 8.209906712839251668e+02
9.898000000000000131e-01 8.652500382244770663e+02
1.010799999999999921e+00 9.104513766856963457e+02
1.031900000000000039e+00 9.577139071683631073e+02
1.052899999999999947e+00 1.006946774915258743e+03
1.074000000000000066e+00 1.058331701882095103e+03
1.095099999999999962e+00 1.112845463835496275e+03
1.116100000000000092e+00 1.168439303738702620e+03
1.137199999999999989e+00 1.227342011345473338e+03
1.158199999999999896e+00 1.288454678609267148e+03
1.179300000000000015e+00 1.354146677188542299e+03
1.200299999999999923e+00 1.421016326320815097e+03
1.221400000000000041e+00 1.492700242589850177e+03
1.242499999999999938e+00 1.566927041649080593e+03
1.263500000000000068e+00 1.645874621274661877e+03
1.284599999999999964e+00 1.728745809929044981e+03
1.305600000000000094e+00 1.816652003650468032e+03
1.326699999999999990e+00 1.909848376849991610e+03
1.347800000000000109e+00 2.009673145909390996e+03
1.368800000000000017e+00 2.116059504527242552e+03
1.389899999999999913e+00 2.229500488758104893e+03
1.410900000000000043e+00 2.353656254429316050e+03
1.431999999999999940e+00 2.486563682833620987e+03
1.453000000000000069e+00 2.634568145440602621e+03
1.474099999999999966e+00 2.793217000314138659e+03
