# energy(eV) alpha
2.149999999999999828e-02 1.402522747772630696e-01
4.309999999999999942e-02 6.547101035054764262e-01
6.460000000000000464e-02 1.401897637330915769e+00
8.609999999999999598e-02 2.429020477984285442e+00
1.076000000000000012e-01 3.966059631015382170e+00
1.292000000000000093e-01 5.458741833044008729e+00
1.507000000000000006e-01 7.347782388773896223e+00
1.721999999999999920e-01 9.700571337924209558e+00
1.937000000000000111e-01 1.237678380219585428e+01
2.152999999999999914e-01 1.515686410742029899e+01
2.368000000000000105e-01 1.846300057188616961e+01
2.582999999999999741e-01 2.209354322496551504e+01
2.797999999999999932e-01 2.574744428315331746e+01
3.014000000000000012e-01 3.033603080338103908e+01
3.229000000000000203e-01 3.459556181179814871e+01
3.443999999999999839e-01 3.950142709754502590e+01
3.659000000000000030e-01 4.473016495981396901e+01
3.875000000000000111e-01 4.987825760106994011e+01
4.089999999999999747e-01 5.616643010573540096e+01
4.304999999999999938e-01 6.190533446664949224e+01
4.520000000000000129e-01 6.888536314088865709e+01
4.736000000000000210e-01 7.523848407754097423e+01
4.950999999999999845e-01 8.290766825407133922e+01
5.165999999999999481e-01 9.038846529651073070e+01
5.381000000000000227e-01 9.819412451205521108e+01
5.596999999999999753e-01 1.069624842507161588e+02
5.812000000000000499e-01 1.154280657786932665e+02
6.027000000000000135e-01 1.242168300476204621e+02
6.241999999999999771e-01 1.339870090924357271e+02
6.458000000000000407e-01 1.434574039683476485e+02
6.673000000000000043e-01 1.539651772252374542e+02
6.887999999999999678e-01 1.647952330681083311e+02
7.103000000000000425e-01 1.759942858969183419e+02
7.318999999999999950e-01 1.883924114463558226e+02
7.533999999999999586e-01 1.995342045212885012e+02
7.749000000000000332e-01 2.118124872255446007e+02
7.963999999999999968e-01 2.244887401022249378e+02
8.179999999999999494e-01 2.375126734360962928e+02
8.395000000000000240e-01 2.517954595991826352e+02
8.609999999999999876e-01 2.655151297699578095e+02
8.824999999999999512e-01 2.824491013020217451e+02
9.041000000000000147e-01 2.969878613863899659e+02
9.255999999999999783e-01 3.128674518106116693e+02
9.471000000000000529e-01 3.291484709668152959e+02
9.686000000000000165e-01 3.468507434227549311e+02
9.901999999999999691e-01 3.639331354041250393e+02
1.011700000000000044e+00 3.824857292740266530e+02
1.033199999999999896e+00 4.014666155765790450e+02
1.054699999999999971e+00 4.208958308105229094e+02
1.076300000000000034e+00 4.407959935573035182e+02
1.097800000000000109e+00 4.622435187784635673e+02
1.119299999999999962e+00 4.829894298670749322e+02
1.140800000000000036e+00 5.053621805796101398e+02
1.162400000000000100e+00 5.295319075848766488e+02
1.183899999999999952e+00 5.528536643621896474e+02
1.205400000000000027e+00 5.779804752108019557e+02
1.226900000000000102e+00 6.048426353768330728e+02
