thickness(m),SLME(%)
1e-08,0.010427384552910214
1.3257113655901082e-08,0.013615362030434591
1.757510624854793e-08,0.01769641626440702
2.329951810515372e-08,0.022866390227227352
3.0888435964774783e-08,0.029329842523308766
4.0949150623804276e-08,0.03727844623302477
5.4286754393238595e-08,0.04685866372796208
7.196856730011513e-08,0.05813123927878645
9.540954763499944e-08,0.07103113422407406
1.2648552168552957e-07,0.08534365250425033
1.67683293681101e-07,0.10071704661998956
2.2229964825261955e-07,0.11672795214970681
2.94705170255181e-07,0.13299503242844674
3.906939937054621e-07,0.14929255295550634
5.179474679231213e-07,0.16557357705825268
6.866488450042998e-07,0.18184447342710422
9.102981779915227e-07,0.1979650197914828
1.2067926406393288e-06,0.21353726305182988
1.5998587196060574e-06,0.227952776566924
2.1209508879201924e-06,0.24053433322051462
2.811768697974231e-06,0.25070567195441484
3.727593720314938e-06,0.2581594301568486
4.941713361323839e-06,0.2629756375262013
6.5512855685955095e-06,0.26562228113151937
8.68511373751352e-06,0.2668021378811772
1.1513953993264481e-05,0.2672033253990082
1.5264179671752335e-05,0.2672993823628056
2.0235896477251556e-05,0.26731398473927265
2.6826957952797274e-05,0.26731521715891277
3.5564803062231284e-05,0.2673152656405501
4.71486636345739e-05,0.26731526634658803
6.250551925273976e-05,0.26731526634938785
8.286427728546843e-05,0.26731526634938996
0.00010985411419875573,0.26731526634938996
0.00014563484775012445,0.26731526634938996
0.00019306977288832496,0.26731526634938996
0.00025595479226995333,0.26731526634938996
0.000339322177189533,0.26731526634938996
0.0004498432668969444,0.26731526634938996
0.0005963623316594637,0.26731526634938996
0.0007906043210907702,0.26731526634938996
0.0010481131341546852,0.26731526634938996
0.001389495494373136,0.26731526634938996
0.0018420699693267163,0.26731526634938996
0.0024420530945486497,0.26731526634938996
0.00323745754281764,0.26731526634938996
0.004291934260128779,0.26731526634938996
0.005689866029018293,0.26731526634938996
0.0075431200633546075,0.26731526634938996
0.01,0.26731526634938996
