# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
2.100000000000000130e-02 3.339608354148291269e-01
4.200000000000000261e-02 1.336016566278435569e+00
6.300000000000000044e-02 2.886665590443600937e+00
8.400000000000000522e-02 5.185483044270544184e+00
1.049999999999999961e-01 8.152589527425393001e+00
1.260000000000000009e-01 1.178749251340243909e+01
1.469999999999999918e-01 1.594581785585951117e+01
1.680000000000000104e-01 2.073895580624932222e+01
1.890000000000000013e-01 2.633422468460222987e+01
2.099999999999999922e-01 3.259479801997639470e+01
2.310000000000000109e-01 3.952076298101429330e+01
2.520000000000000018e-01 4.734047618431771554e+01
2.730000000000000204e-01 5.561297520587917376e+01
2.939999999999999836e-01 6.454802979770984450e+01
3.150000000000000022e-01 7.414431867748436389e+01
3.360000000000000209e-01 8.470707142251065136e+01
3.569999999999999840e-01 9.597164439921739643e+01
3.780000000000000027e-01 1.075843838346319217e+02
3.990000000000000213e-01 1.202166654554000615e+02
4.199999999999999845e-01 1.339288157434384630e+02
4.410000000000000031e-01 1.479939339475143640e+02
4.620000000000000218e-01 1.627203438598646983e+02
4.829999999999999849e-01 1.785828603842347491e+02
5.040000000000000036e-01 1.952010551969107155e+02
5.250000000000000222e-01 2.120282533646763170e+02
5.460000000000000409e-01 2.305706769141043253e+02
5.669999999999999485e-01 2.503863483594634545e+02
5.879999999999999671e-01 2.698929663354090280e+02
6.089999999999999858e-01 2.907043913503154613e+02
6.300000000000000044e-01 3.128441561265591986e+02
6.510000000000000231e-01 3.357633899509958155e+02
6.720000000000000417e-01 3.600802059956067751e+02
6.929999999999999494e-01 3.846259626988252762e+02
7.139999999999999680e-01 4.105575238647722358e+02
7.349999999999999867e-01 4.373039343255792915e+02
7.560000000000000053e-01 4.662671616807145369e+02
7.770000000000000240e-01 4.954095734956728734e+02
7.980000000000000426e-01 5.261187645222991023e+02
8.189999999999999503e-01 5.576955595344616086e+02
8.399999999999999689e-01 5.908995357508889583e+02
8.609999999999999876e-01 6.250033144062161909e+02
8.820000000000000062e-01 6.616392932222252057e+02
9.030000000000000249e-01 6.983828578687238178e+02
9.240000000000000435e-01 7.377637772958379401e+02
9.449999999999999512e-01 7.781324693784625879e+02
9.659999999999999698e-01 8.204094601257966133e+02
9.869999999999999885e-01 8.645251193460780996e+02
1.008000000000000007e+00 9.106502444058481842e+02
1.028999999999999915e+00 9.578472953806079886e+02
1.050000000000000044e+00 1.008050062296257238e+03
1.070999999999999952e+00 1.059308694947367940e+03
1.092000000000000082e+00 1.115722287038141758e+03
1.112999999999999989e+00 1.172321790181209735e+03
1.133999999999999897e+00 1.232215714676000744e+03
1.155000000000000027e+00 1.294398251781053432e+03
1.175999999999999934e+00 1.360033523493429129e+03
1.197000000000000064e+00 1.429133228107424657e+03
1.217999999999999972e+00 1.501852081090959473e+03
1.239000000000000101e+00 1.580485202360885751e+03
1.260000000000000009e+00 1.661820718793546575e+03
1.280999999999999917e+00 1.749326172029845111e+03
1.302000000000000046e+00 1.840904661518694411e+03
1.322999999999999954e+00 1.941286693984321346e+03
1.344000000000000083e+00 2.048490270476753722e+03
1.364999999999999991e+00 2.163670411036011501e+03
