# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
2.100000000000000130e-02 4.817470979526046748e-01
4.200000000000000261e-02 1.999701167154445569e+00
6.300000000000000044e-02 4.444752672341859778e+00
8.400000000000000522e-02 7.852968752234045446e+00
1.050999999999999990e-01 1.241713964078004118e+01
1.260999999999999899e-01 1.778828946692066637e+01
1.471000000000000085e-01 2.424843997880536861e+01
1.680999999999999994e-01 3.170317162724829174e+01
1.890999999999999903e-01 4.015486446041857960e+01
2.101000000000000090e-01 4.978085077972283301e+01
2.310999999999999999e-01 6.044738111433142791e+01
2.520999999999999908e-01 7.191332527432415134e+01
2.731999999999999984e-01 8.488535327997699653e+01
2.942000000000000171e-01 9.861959624324394724e+01
3.151999999999999802e-01 1.136637389925701456e+02
3.361999999999999988e-01 1.297485754264844218e+02
3.572000000000000175e-01 1.472084868777618851e+02
3.781999999999999806e-01 1.657598657230102219e+02
3.991999999999999993e-01 1.861030701651571917e+02
4.202000000000000179e-01 2.072160167985443877e+02
4.411999999999999811e-01 2.290647396294332339e+02
4.622999999999999887e-01 2.532548858754672381e+02
4.833000000000000074e-01 2.785771524315954935e+02
5.042999999999999705e-01 3.050723397591454500e+02
5.252999999999999892e-01 3.331848390961342261e+02
5.463000000000000078e-01 3.629965421282534521e+02
5.673000000000000265e-01 3.945285187581657738e+02
5.883000000000000451e-01 4.278212919285134035e+02
6.092999999999999527e-01 4.629291526338190010e+02
6.303999999999999604e-01 5.000075212552740709e+02
6.513999999999999790e-01 5.383552253512407333e+02
6.723999999999999977e-01 5.791931367791994489e+02
6.934000000000000163e-01 6.232395562375677400e+02
7.144000000000000350e-01 6.687853401486277107e+02
7.354000000000000536e-01 7.171128106652504357e+02
7.563999999999999613e-01 7.683070568413186265e+02
7.773999999999999799e-01 8.224327200648544931e+02
7.984999999999999876e-01 8.796838058953184145e+02
8.195000000000000062e-01 9.407180904861684212e+02
8.405000000000000249e-01 1.004970700750997821e+03
8.615000000000000435e-01 1.074046646978837316e+03
8.824999999999999512e-01 1.146625911322975071e+03
9.034999999999999698e-01 1.226656034443703675e+03
9.244999999999999885e-01 1.311300975129636072e+03
9.455000000000000071e-01 1.403072399150994215e+03
9.665000000000000258e-01 1.503092700792870119e+03
9.876000000000000334e-01 1.612735529952309662e+03
1.008599999999999941e+00 1.733658369457008348e+03
1.029600000000000071e+00 1.867400930764444865e+03
1.050599999999999978e+00 2.017104872071088494e+03
1.071600000000000108e+00 2.187934822405884915e+03
1.092600000000000016e+00 2.382614400019438108e+03
1.113599999999999923e+00 2.608622368430436836e+03
1.134600000000000053e+00 2.870142733128001510e+03
1.155699999999999950e+00 3.174657352217300740e+03
1.176700000000000079e+00 3.528502562275821674e+03
1.197699999999999987e+00 3.934976281626024956e+03
1.218699999999999894e+00 4.391289240087373400e+03
1.239700000000000024e+00 4.891415559307199146e+03
1.260699999999999932e+00 5.419352684442330428e+03
1.281700000000000061e+00 5.950802242129660044e+03
1.302699999999999969e+00 6.457250470790466352e+03
1.323700000000000099e+00 6.909502628820329846e+03
1.344799999999999995e+00 7.282087342937261383e+03
1.365799999999999903e+00 7.559880934288293247e+03
1.386800000000000033e+00 7.744667443489262951e+03
1.407799999999999940e+00 7.854319021957434416e+03
1.428800000000000070e+00 7.915727563172588816e+03
1.449799999999999978e+00 7.970998172402735690e+03
1.470800000000000107e+00 8.059862369548335664e+03
1.491800000000000015e+00 8.218336369922017184e+03
1.512899999999999912e+00 8.481939608714821588e+03
1.533900000000000041e+00 8.877122833786610499e+03
1.554899999999999949e+00 9.421711339189378123e+03
1.575900000000000079e+00 1.013043501200201899e+04
1.596899999999999986e+00 1.101250799564201407e+04
1.617899999999999894e+00 1.207587241976370569e+04
1.638900000000000023e+00 1.331584460392722394e+04
1.659899999999999931e+00 1.473438672876364399e+04
1.681000000000000050e+00 1.631485121528935815e+04
1.701999999999999957e+00 1.804538312981462877e+04
1.723000000000000087e+00 1.990419079771911856e+04
1.743999999999999995e+00 2.186305243682389846e+04
1.764999999999999902e+00 2.388334959272879132e+04
1.786000000000000032e+00 2.591482986017135045e+04
1.806999999999999940e+00 2.789974230423221525e+04
1.828000000000000069e+00 2.976766371005994733e+04
1.848999999999999977e+00 3.143733378614885078e+04
1.870100000000000096e+00 3.283905330791857705e+04
1.891100000000000003e+00 3.391490503303532751e+04
1.912099999999999911e+00 3.463995495599821879e+04
1.933100000000000041e+00 3.503310580531132291e+04
1.954099999999999948e+00 3.516781578835507389e+04
1.975100000000000078e+00 3.515289617346312298e+04
1.996099999999999985e+00 3.512469569370534009e+04
2.017100000000000115e+00 3.523067522358343558e+04
2.038199999999999790e+00 3.559592170534453908e+04
2.059200000000000141e+00 3.630976497172332165e+04
2.080200000000000049e+00 3.743075146845858399e+04
2.101199999999999957e+00 3.898726706776483479e+04
2.122199999999999864e+00 4.098243698134787701e+04
2.143200000000000216e+00 4.340645397820369544e+04
2.164200000000000124e+00 4.626238003479270265e+04
2.185200000000000031e+00 4.954824829749574565e+04
2.206199999999999939e+00 5.326687059158528427e+04
2.227300000000000058e+00 5.741879255356642534e+04
2.248299999999999965e+00 6.196852284530876932e+04
2.269299999999999873e+00 6.685183964742925309e+04
2.290299999999999780e+00 7.194959493259347801e+04
2.311300000000000132e+00 7.709580889387529169e+04
2.332300000000000040e+00 8.208926018167634902e+04
2.353299999999999947e+00 8.671198737134614203e+04
2.374299999999999855e+00 9.077896917045822192e+04
2.395399999999999974e+00 9.416660841141811397e+04
2.416399999999999881e+00 9.684003936210239772e+04
2.437399999999999789e+00 9.887824623037858692e+04
2.458400000000000141e+00 1.004674138871871546e+05
2.479400000000000048e+00 1.018546415575485007e+05
2.500399999999999956e+00 1.033074308064948564e+05
2.521399999999999864e+00 1.050594273047522875e+05
2.542400000000000215e+00 1.072749005520575884e+05
2.563499999999999890e+00 1.100498937282152474e+05
2.584499999999999797e+00 1.133959802829798427e+05
2.605500000000000149e+00 1.172991647334857844e+05
2.626500000000000057e+00 1.217402603435644414e+05
2.647499999999999964e+00 1.267024021449203137e+05
2.668499999999999872e+00 1.321805524570138077e+05
2.689499999999999780e+00 1.381786736170272343e+05
2.710500000000000131e+00 1.446791431695076462e+05
2.731500000000000039e+00 1.516407117794108053e+05
2.752600000000000158e+00 1.589735872279018222e+05
2.773600000000000065e+00 1.665315394645157212e+05
2.794599999999999973e+00 1.741581666074887908e+05
2.815599999999999881e+00 1.816810634471960657e+05
2.836599999999999788e+00 1.889486952461386099e+05
2.857600000000000140e+00 1.958336322448084829e+05
2.878600000000000048e+00 2.022609366772061912e+05
2.899599999999999955e+00 2.081919502395132731e+05
2.920700000000000074e+00 2.136392021180732409e+05
2.941699999999999982e+00 2.186127809761581011e+05
2.962699999999999889e+00 2.231720184257467045e+05
2.983699999999999797e+00 2.273608775755826791e+05
3.004700000000000149e+00 2.312183236946971447e+05
3.025700000000000056e+00 2.347767769212031562e+05
3.046699999999999964e+00 2.380561400152307760e+05
3.067699999999999871e+00 2.410766809125920699e+05
3.088699999999999779e+00 2.438787252873938996e+05
3.109799999999999898e+00 2.465357865678100206e+05
3.130799999999999805e+00 2.491265504635830002e+05
3.151800000000000157e+00 2.517755365760542045e+05
3.172800000000000065e+00 2.545962119529041520e+05
3.193799999999999972e+00 2.576790893380246998e+05
3.214799999999999880e+00 2.610779374845241255e+05
3.235799999999999788e+00 2.648082399543996435e+05
3.256800000000000139e+00 2.688552419583719457e+05
3.277899999999999814e+00 2.731948313840530463e+05
3.298900000000000166e+00 2.777647400651216158e+05
3.319900000000000073e+00 2.825232652521143318e+05
3.340899999999999981e+00 2.874285303821302950e+05
3.361899999999999888e+00 2.924553407491169055e+05
3.382899999999999796e+00 2.975996087275724858e+05
3.403900000000000148e+00 3.028703103622054914e+05
3.424900000000000055e+00 3.082941537292004214e+05
3.446000000000000174e+00 3.138761792151564150e+05
3.467000000000000082e+00 3.195687015578188584e+05
3.487999999999999989e+00 3.252936452857070835e+05
3.508999999999999897e+00 3.309109747991744080e+05
3.529999999999999805e+00 3.362635711362434668e+05
3.551000000000000156e+00 3.412027758396303398e+05
3.572000000000000064e+00 3.456327459811474546e+05
3.592999999999999972e+00 3.495479322995535913e+05
3.613999999999999879e+00 3.530175912494044751e+05
3.635099999999999998e+00 3.562039540487213526e+05
3.656099999999999905e+00 3.592560598167010467e+05
3.677099999999999813e+00 3.623487499435616774e+05
3.698100000000000165e+00 3.655944627455140580e+05
3.719100000000000072e+00 3.690495157930300920e+05
3.740099999999999980e+00 3.726866345459704171e+05
3.761099999999999888e+00 3.764410189514528029e+05
3.782099999999999795e+00 3.802001724525562604e+05
3.803199999999999914e+00 3.838385732279876247e+05
3.824199999999999822e+00 3.871879814897755277e+05
3.845200000000000173e+00 3.901291342426086194e+05
3.866200000000000081e+00 3.925415683167378302e+05
3.887199999999999989e+00 3.943513611441418179e+05
3.908199999999999896e+00 3.955167285180481267e+05
3.929199999999999804e+00 3.960554984726311523e+05
3.950200000000000156e+00 3.960291017826334573e+05
3.971200000000000063e+00 3.955445069212410599e+05
3.992300000000000182e+00 3.947717181988944649e+05
4.013300000000000090e+00 3.938382275171257206e+05
4.034299999999999997e+00 3.929122758878241293e+05
4.055299999999999905e+00 3.921131431375459651e+05
4.076299999999999812e+00 3.915190983957098215e+05
4.097299999999999720e+00 3.911493876167580602e+05
4.118299999999999628e+00 3.909972650708635920e+05
4.139300000000000423e+00 3.910166648789968458e+05
4.160400000000000098e+00 3.912091648777359514e+05
4.181400000000000006e+00 3.915680838915132917e+05
