# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
2.110000000000000070e-02 3.340674922110598577e-01
4.209999999999999853e-02 1.294234812475705709e+00
6.320000000000000617e-02 2.943382318948163601e+00
8.419999999999999707e-02 5.254120014844305686e+00
1.053000000000000047e-01 8.237100421561201813e+00
1.262999999999999956e-01 1.176148084738147226e+01
1.474000000000000032e-01 1.605752610379103018e+01
1.683999999999999941e-01 2.084445569729603775e+01
1.895000000000000018e-01 2.645082383966730433e+01
2.104999999999999927e-01 3.271675658570205059e+01
2.316000000000000003e-01 3.965260001155977676e+01
2.525999999999999912e-01 4.723359720743863477e+01
2.736999999999999988e-01 5.549464905715668550e+01
2.947000000000000175e-01 6.439579772050771567e+01
3.158000000000000251e-01 7.397865399457437263e+01
3.367999999999999883e-01 8.450190246410902262e+01
3.578999999999999959e-01 9.576749293170223609e+01
3.789000000000000146e-01 1.073362196742086070e+02
4.000000000000000222e-01 1.203186572233606029e+02
4.209999999999999853e-01 1.336391236294016664e+02
4.420999999999999930e-01 1.476575590935465527e+02
4.631000000000000116e-01 1.627832899328105611e+02
4.842000000000000193e-01 1.781986672551880986e+02
5.051999999999999824e-01 1.952127096095267973e+02
5.262999999999999901e-01 2.120367144887312918e+02
5.473000000000000087e-01 2.305292392915098674e+02
5.684000000000000163e-01 2.493089021574522519e+02
5.894000000000000350e-01 2.692846181757913655e+02
6.105000000000000426e-01 2.900689651338627186e+02
6.314999999999999503e-01 3.115515028850750241e+02
6.525999999999999579e-01 3.344306111570522830e+02
6.735999999999999766e-01 3.586755807423178339e+02
6.946999999999999842e-01 3.824988188661940853e+02
7.157000000000000028e-01 4.089908755950221462e+02
7.368000000000000105e-01 4.356821218613998212e+02
7.578000000000000291e-01 4.631546598356197251e+02
7.789000000000000368e-01 4.922009710592760712e+02
7.999000000000000554e-01 5.220237641152034485e+02
8.209999999999999520e-01 5.542272330813719918e+02
8.419999999999999707e-01 5.873024115834731447e+02
8.630999999999999783e-01 6.205382311385016010e+02
8.840999999999999970e-01 6.561866145049865509e+02
9.052000000000000046e-01 6.928399101676200189e+02
9.262000000000000233e-01 7.311621759113392045e+02
9.473000000000000309e-01 7.713739194639791776e+02
9.683000000000000496e-01 8.116635549818869322e+02
9.893999999999999462e-01 8.547592145637728436e+02
1.010399999999999965e+00 9.005716548523059828e+02
1.031500000000000083e+00 9.466279074330212779e+02
1.052499999999999991e+00 9.955555977603252131e+02
1.073600000000000110e+00 1.046632722440987209e+03
1.094600000000000017e+00 1.098734254043544979e+03
1.115699999999999914e+00 1.153025407766306898e+03
1.136800000000000033e+00 1.210529169564252470e+03
