# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
2.129999999999999949e-02 3.462866689639709783e-01
4.250000000000000305e-02 1.381870768920922421e+00
6.379999999999999560e-02 3.111410879571522514e+00
8.509999999999999509e-02 5.533080628890764352e+00
1.063999999999999946e-01 8.746517234013234443e+00
1.275999999999999912e-01 1.256161723420854948e+01
1.489000000000000046e-01 1.707605421337738960e+01
1.701999999999999902e-01 2.244059258045468752e+01
1.913999999999999868e-01 2.834060418303252504e+01
2.127000000000000002e-01 3.514165028887354225e+01
2.340000000000000135e-01 4.245166371895171409e+01
2.553000000000000269e-01 5.092853603638439353e+01
2.765000000000000235e-01 5.963157078869797800e+01
2.978000000000000091e-01 6.933602427633390164e+01
3.190999999999999948e-01 8.004796355290265808e+01
3.403999999999999804e-01 9.152147963713049705e+01
3.615999999999999770e-01 1.034102527936177012e+02
3.829000000000000181e-01 1.163832507427951555e+02
4.042000000000000037e-01 1.305173080322035446e+02
4.254000000000000004e-01 1.454149898815874451e+02
4.466999999999999860e-01 1.606977463133231652e+02
4.680000000000000271e-01 1.776345910249719964e+02
4.893000000000000127e-01 1.949462053135437998e+02
5.104999999999999538e-01 2.139571190796829399e+02
5.318000000000000504e-01 2.328826363222478903e+02
5.531000000000000361e-01 2.541716933608794307e+02
5.743000000000000327e-01 2.757459448041504970e+02
5.956000000000000183e-01 2.988108564379340919e+02
6.169000000000000039e-01 3.227330201336157529e+02
6.381999999999999895e-01 3.475857363313248243e+02
6.593999999999999861e-01 3.744919436414349434e+02
6.806999999999999718e-01 4.030879502349548034e+02
7.019999999999999574e-01 4.326411866136483582e+02
7.231999999999999540e-01 4.638283164571162160e+02
7.445000000000000506e-01 4.961087704427390577e+02
7.658000000000000362e-01 5.308281062517488635e+02
7.871000000000000218e-01 5.666332301644989684e+02
8.083000000000000185e-01 6.057400977823727999e+02
8.296000000000000041e-01 6.453482112848456609e+02
8.508999999999999897e-01 6.876702272600127799e+02
8.721999999999999753e-01 7.328702290326872344e+02
8.933999999999999719e-01 7.809622582760907790e+02
9.146999999999999575e-01 8.304377582173891597e+02
9.360000000000000542e-01 8.856614741259717221e+02
9.572000000000000508e-01 9.422479110370892386e+02
9.785000000000000364e-01 1.004130862214009881e+03
9.998000000000000220e-01 1.069477522915727832e+03
1.021099999999999897e+00 1.141306114490193750e+03
1.042300000000000004e+00 1.217734677780599441e+03
1.063600000000000101e+00 1.300163629161658719e+03
1.084899999999999975e+00 1.391710797574930211e+03
1.106100000000000083e+00 1.491517873684058713e+03
