# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
2.149999999999999828e-02 1.404439487437360856e-01
4.290000000000000063e-02 6.515334775185316341e-01
6.439999999999999891e-02 1.396871337984099126e+00
8.590000000000000413e-02 2.508700058673063449e+00
1.073000000000000065e-01 3.830467017384421524e+00
1.287999999999999978e-01 5.708240890934760614e+00
1.502999999999999892e-01 7.634402163206886804e+00
1.718000000000000083e-01 1.020601683459240228e+01
1.932000000000000106e-01 1.272775701272373716e+01
2.147000000000000020e-01 1.598913000744146018e+01
2.361999999999999933e-01 1.912130569142882663e+01
2.575999999999999956e-01 2.277782584795029308e+01
2.791000000000000147e-01 2.678290862997437216e+01
3.005999999999999783e-01 3.111104147754287297e+01
3.220000000000000084e-01 3.574666353287162224e+01
3.435000000000000275e-01 4.071842220637817178e+01
3.649999999999999911e-01 4.640121844934031259e+01
3.864000000000000212e-01 5.202231869134171660e+01
4.078999999999999848e-01 5.798272939368106194e+01
4.294000000000000039e-01 6.426365585372798250e+01
4.507999999999999785e-01 7.132846571929376012e+01
4.722999999999999976e-01 7.826666476381758741e+01
4.938000000000000167e-01 8.605468331881895949e+01
5.152999999999999803e-01 9.366235781666638616e+01
5.366999999999999549e-01 1.021387270716100488e+02
5.582000000000000295e-01 1.104046412994416215e+02
5.796999999999999931e-01 1.195944603400844102e+02
6.010999999999999677e-01 1.284968876328050271e+02
6.226000000000000423e-01 1.390897842216305378e+02
6.441000000000000059e-01 1.493732169415636406e+02
6.654999999999999805e-01 1.599937606602160542e+02
6.870000000000000551e-01 1.709971272582251061e+02
7.085000000000000187e-01 1.823603390825689985e+02
7.298999999999999932e-01 1.948577016490203562e+02
7.513999999999999568e-01 2.069572299074170871e+02
7.729000000000000314e-01 2.194144034297517010e+02
7.943000000000000060e-01 2.330813131310279402e+02
8.157999999999999696e-01 2.479945821985862437e+02
8.373000000000000442e-01 2.615843644347876875e+02
8.588000000000000078e-01 2.764807424601137882e+02
8.801999999999999824e-01 2.926178739577478609e+02
9.016999999999999460e-01 3.083302038823516682e+02
9.232000000000000206e-01 3.253429748745322172e+02
9.445999999999999952e-01 3.418265377063704022e+02
9.660999999999999588e-01 3.597023309333089855e+02
9.876000000000000334e-01 3.780707863923070704e+02
1.008999999999999897e+00 3.968321308257087026e+02
1.030499999999999972e+00 4.171477177210046534e+02
1.052000000000000046e+00 4.367749579617230324e+02
1.073399999999999910e+00 4.579721717025360590e+02
1.094899999999999984e+00 4.796866788324849153e+02
1.116400000000000059e+00 5.030322721017885783e+02
1.137799999999999923e+00 5.256593217220020051e+02
1.159299999999999997e+00 5.500005491265720821e+02
1.180800000000000072e+00 5.761609186832323530e+02
1.202299999999999924e+00 6.027956502261632750e+02
1.223700000000000010e+00 6.273762584877554218e+02
1.245200000000000085e+00 6.550547585714149363e+02
1.266699999999999937e+00 6.846612959978842810e+02
1.288100000000000023e+00 7.147275002122390788e+02
1.309600000000000097e+00 7.468797703474439231e+02
1.331099999999999950e+00 7.796275147857791126e+02
1.352500000000000036e+00 8.129345559475768823e+02
1.374000000000000110e+00 8.483237001519574960e+02
1.395499999999999963e+00 8.858308927764251166e+02
1.416900000000000048e+00 9.224729876373185107e+02
1.438399999999999901e+00 9.628117518362709006e+02
1.459899999999999975e+00 1.003851147101160109e+03
1.481300000000000061e+00 1.048706240566125416e+03
1.502799999999999914e+00 1.095958306106613918e+03
1.524299999999999988e+00 1.142379526679208766e+03
1.545800000000000063e+00 1.194466808232469020e+03
1.567199999999999926e+00 1.248991864540237430e+03
1.588700000000000001e+00 1.311135711671797480e+03
1.610200000000000076e+00 1.370981865969717319e+03
1.631599999999999939e+00 1.438540154196103686e+03
1.653100000000000014e+00 1.509031992306014217e+03
1.674600000000000088e+00 1.582455900426132075e+03
1.695999999999999952e+00 1.660421856423761938e+03
1.717500000000000027e+00 1.741662702146935771e+03
1.739000000000000101e+00 1.827720994673839641e+03
1.760399999999999965e+00 1.913223411574706915e+03
1.781900000000000039e+00 2.001965902430416691e+03
1.803399999999999892e+00 2.099453239457203836e+03
1.824899999999999967e+00 2.202104539377822221e+03
1.846300000000000052e+00 2.311907115308533776e+03
1.867799999999999905e+00 2.430987557217376434e+03
1.889299999999999979e+00 2.555799387207998279e+03
1.910700000000000065e+00 2.691959392287546052e+03
1.932199999999999918e+00 2.834236509274272521e+03
1.953699999999999992e+00 2.980490912698731790e+03
1.975100000000000078e+00 3.138674519220385264e+03
1.996599999999999930e+00 3.301292426366040218e+03
2.018100000000000005e+00 3.474167792941563675e+03
2.039499999999999869e+00 3.657450123686170173e+03
2.060999999999999943e+00 3.851402834100048949e+03
2.082500000000000018e+00 4.066627417329787932e+03
2.103899999999999881e+00 4.296892552854521455e+03
2.125399999999999956e+00 4.551347272417224303e+03
2.146900000000000031e+00 4.830086564615704447e+03
2.168400000000000105e+00 5.144442001500222432e+03
2.189799999999999969e+00 5.492360660730489144e+03
2.211300000000000043e+00 5.890589431373176922e+03
2.232800000000000118e+00 6.337459911350352741e+03
2.254199999999999982e+00 6.842752799418994073e+03
2.275700000000000056e+00 7.406213687794511316e+03
2.297200000000000131e+00 8.021927143646792501e+03
2.318599999999999994e+00 8.683980386596138487e+03
2.340100000000000069e+00 9.389436216857015097e+03
2.361600000000000144e+00 1.013608177552969755e+04
2.383000000000000007e+00 1.093097041333708148e+04
2.404500000000000082e+00 1.177955952106838413e+04
2.426000000000000156e+00 1.271501597723029408e+04
2.447400000000000020e+00 1.375447931481597152e+04
2.468900000000000095e+00 1.492717064084750928e+04
2.490400000000000169e+00 1.625457444787290842e+04
2.511899999999999800e+00 1.775773255462602174e+04
2.533300000000000107e+00 1.943633538607931769e+04
2.554800000000000182e+00 2.129011700461055443e+04
2.576299999999999812e+00 2.330544833947981897e+04
2.597700000000000120e+00 2.545544670288142515e+04
2.619200000000000195e+00 2.771257430642661711e+04
2.640699999999999825e+00 3.004027892595957019e+04
2.662100000000000133e+00 3.240701829048774016e+04
2.683600000000000207e+00 3.477592645346059726e+04
2.705099999999999838e+00 3.712291266427308437e+04
2.726500000000000146e+00 3.940938813132992800e+04
2.748000000000000220e+00 4.161973705533373140e+04
2.769499999999999851e+00 4.372820340630610008e+04
2.790900000000000158e+00 4.569183622622003895e+04
2.812399999999999789e+00 4.748816004864629213e+04
2.833899999999999864e+00 4.907485227570548886e+04
2.855399999999999938e+00 5.043670655784450355e+04
2.876799999999999802e+00 5.157758432651749899e+04
2.898299999999999876e+00 5.252727775715492317e+04
2.919799999999999951e+00 5.336769347776908398e+04
2.941199999999999815e+00 5.417363488424388197e+04
2.962699999999999889e+00 5.503842420781287365e+04
2.984199999999999964e+00 5.602327217878998636e+04
3.005599999999999827e+00 5.713001630022642348e+04
3.027099999999999902e+00 5.832441986323592573e+04
3.048599999999999977e+00 5.949639133179805503e+04
3.069999999999999840e+00 6.053146723348779051e+04
3.091499999999999915e+00 6.130386785973369842e+04
3.112999999999999989e+00 6.172507167381683394e+04
3.134500000000000064e+00 6.176768960791130667e+04
3.155899999999999928e+00 6.146328837845088128e+04
3.177400000000000002e+00 6.091533384626393672e+04
3.198900000000000077e+00 6.027157343025662703e+04
3.220299999999999940e+00 5.970045482890814310e+04
