# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
2.129999999999999949e-02 3.993995027711150780e-01
4.259999999999999898e-02 1.555888954920377598e+00
6.389999999999999847e-02 3.649455461807878720e+00
8.530000000000000082e-02 6.386965476115480378e+00
1.066000000000000003e-01 9.979557196815504128e+00
1.279000000000000137e-01 1.436998010936872028e+01
1.491999999999999993e-01 1.968423696602325990e+01
1.705000000000000127e-01 2.568592612452167145e+01
1.917999999999999983e-01 3.265829707542656735e+01
2.131000000000000116e-01 4.046491438739902691e+01
2.344999999999999862e-01 4.889409729169710062e+01
2.558000000000000274e-01 5.834586944466775549e+01
2.771000000000000130e-01 6.888079318468084011e+01
2.983999999999999986e-01 8.001006628914107921e+01
3.196999999999999842e-01 9.225855803875155914e+01
3.410000000000000253e-01 1.057061033173106779e+02
3.623999999999999999e-01 1.197354774605381635e+02
3.836999999999999855e-01 1.349453563827512141e+02
4.050000000000000266e-01 1.514477507914867545e+02
4.263000000000000123e-01 1.680799774145026220e+02
4.475999999999999979e-01 1.868212273138394721e+02
4.688999999999999835e-01 2.060723111585905656e+02
4.902000000000000246e-01 2.267268307639185707e+02
5.116000000000000547e-01 2.483910406929949204e+02
5.329000000000000403e-01 2.724634494490346128e+02
5.542000000000000259e-01 2.960564932505180309e+02
5.755000000000000115e-01 3.222088308442782250e+02
5.967999999999999972e-01 3.499302924466226727e+02
6.180999999999999828e-01 3.782256918686557015e+02
6.393999999999999684e-01 4.087337315356928116e+02
6.608000000000000540e-01 4.416775991041877205e+02
6.821000000000000396e-01 4.757561694155120335e+02
7.034000000000000252e-01 5.122964994726247596e+02
7.247000000000000108e-01 5.500951139637490996e+02
7.459999999999999964e-01 5.912169497464795995e+02
7.672999999999999821e-01 6.343891954492841023e+02
7.886999999999999567e-01 6.790256858781272058e+02
8.100000000000000533e-01 7.279348195016642649e+02
8.313000000000000389e-01 7.798506519643402726e+02
8.526000000000000245e-01 8.349326738178388041e+02
8.739000000000000101e-01 8.940620690421347945e+02
8.951999999999999957e-01 9.573328740518778659e+02
9.164999999999999813e-01 1.025772629059073552e+03
9.378999999999999559e-01 1.100604466834293135e+03
9.592000000000000526e-01 1.180858211636058286e+03
9.805000000000000382e-01 1.267782786752683251e+03
1.001800000000000024e+00 1.365253677832412450e+03
1.023099999999999898e+00 1.472813862479212730e+03
1.044399999999999995e+00 1.591702076641533722e+03
1.065700000000000092e+00 1.727284281651828678e+03
1.087099999999999955e+00 1.881245311481373392e+03
1.108400000000000052e+00 2.059026003054161720e+03
1.129699999999999926e+00 2.264801699254615869e+03
1.151000000000000023e+00 2.508923008194627073e+03
1.172299999999999898e+00 2.796046220751350575e+03
1.193599999999999994e+00 3.137627360861702982e+03
1.214900000000000091e+00 3.543493933300393110e+03
1.236299999999999955e+00 4.016774762802774148e+03
1.257600000000000051e+00 4.562032860214773791e+03
1.278899999999999926e+00 5.169558211196755110e+03
1.300200000000000022e+00 5.821640838221067497e+03
1.321499999999999897e+00 6.490423088743141307e+03
1.342799999999999994e+00 7.132670013519457825e+03
1.364200000000000079e+00 7.709848075408425757e+03
1.385499999999999954e+00 8.178453000215605243e+03
1.406800000000000050e+00 8.515854993932147408e+03
1.428099999999999925e+00 8.715880485326806593e+03
1.449400000000000022e+00 8.794570008718086683e+03
1.470699999999999896e+00 8.794645648465597333e+03
1.491999999999999993e+00 8.763694559768831823e+03
1.513400000000000079e+00 8.763076383212626752e+03
1.534699999999999953e+00 8.843572574426754727e+03
1.556000000000000050e+00 9.038861881481234377e+03
1.577299999999999924e+00 9.375070342362863812e+03
1.598600000000000021e+00 9.856939578127832647e+03
1.619899999999999896e+00 1.047085903884107938e+04
1.641199999999999992e+00 1.119089589294713915e+04
1.662600000000000078e+00 1.198437296539023919e+04
1.683899999999999952e+00 1.280961788498949863e+04
1.705200000000000049e+00 1.363494737743581391e+04
1.726499999999999924e+00 1.443575309061960979e+04
1.747800000000000020e+00 1.521016857430763048e+04
1.769099999999999895e+00 1.597580710904511761e+04
1.790499999999999980e+00 1.677488111567265150e+04
1.811800000000000077e+00 1.766653139035424465e+04
1.833099999999999952e+00 1.871577270376197703e+04
1.854400000000000048e+00 1.999981405800387074e+04
