# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
1.859999999999999848e-02 1.705383563496568333e-01
3.729999999999999982e-02 7.589471815768565888e-01
5.589999999999999830e-02 1.650310972546671140e+00
7.449999999999999678e-02 2.882762699702486220e+00
9.320000000000000506e-02 4.554242443888600889e+00
1.117999999999999966e-01 6.602281701108194234e+00
1.303999999999999881e-01 9.026515852787488470e+00
1.491000000000000103e-01 1.168803611586513114e+01
1.676999999999999880e-01 1.468336849223661034e+01
1.862999999999999934e-01 1.839432278883515082e+01
2.049999999999999878e-01 2.211850946355829706e+01
2.235999999999999932e-01 2.639551095823266635e+01
2.421999999999999986e-01 3.105360042869625659e+01
2.607999999999999763e-01 3.608389420082848886e+01
2.795000000000000262e-01 4.151045637119076304e+01
2.980999999999999761e-01 4.699708778817463894e+01
3.166999999999999815e-01 5.346871243585530920e+01
3.353999999999999759e-01 6.036204917488743149e+01
3.539999999999999813e-01 6.693957083075328285e+01
3.725999999999999868e-01 7.460107270083979358e+01
3.912999999999999812e-01 8.190961448059067607e+01
4.098999999999999866e-01 9.078535917840800096e+01
4.284999999999999920e-01 9.966179175970444248e+01
4.471999999999999864e-01 1.080746450005780588e+02
4.657999999999999918e-01 1.182186691591254686e+02
4.843999999999999972e-01 1.283039694366850370e+02
5.030999999999999917e-01 1.383154198106791739e+02
5.217000000000000526e-01 1.492231086614739297e+02
5.403000000000000025e-01 1.605120075488785858e+02
5.590000000000000524e-01 1.728167573524209786e+02
5.776000000000000023e-01 1.855350098141136925e+02
5.961999999999999522e-01 1.980745273784703784e+02
6.149000000000000021e-01 2.116899806968914675e+02
6.334999999999999520e-01 2.257104267168023171e+02
6.521000000000000130e-01 2.401367238286472912e+02
6.706999999999999629e-01 2.550334177568607572e+02
6.894000000000000128e-01 2.704042012045492243e+02
7.079999999999999627e-01 2.868831684741488175e+02
7.266000000000000236e-01 3.038208702257718983e+02
7.452999999999999625e-01 3.212826884872349069e+02
7.639000000000000234e-01 3.399476388190460625e+02
7.824999999999999734e-01 3.590905114292098119e+02
8.012000000000000233e-01 3.779944699720140306e+02
8.197999999999999732e-01 3.981441780926447791e+02
8.384000000000000341e-01 4.187677374614167434e+02
8.570999999999999730e-01 4.408216113051512934e+02
8.757000000000000339e-01 4.642349464909816561e+02
8.942999999999999838e-01 4.873163251002928860e+02
9.130000000000000338e-01 5.109819677573206604e+02
9.315999999999999837e-01 5.369596611018686190e+02
9.502000000000000446e-01 5.616476278228323054e+02
9.688999999999999835e-01 5.888326969035282445e+02
9.875000000000000444e-01 6.175677238114147940e+02
1.006099999999999994e+00 6.469207853469861220e+02
1.024799999999999933e+00 6.769251223839481781e+02
1.043400000000000105e+00 7.085841221368737024e+02
1.062000000000000055e+00 7.408576138307707879e+02
1.080699999999999994e+00 7.748980750009346821e+02
1.099299999999999944e+00 8.106696087738722554e+02
1.117899999999999894e+00 8.482649716993914808e+02
1.136500000000000066e+00 8.854583879142609248e+02
1.155200000000000005e+00 9.280302416522463318e+02
1.173799999999999955e+00 9.689865352523289630e+02
1.192399999999999904e+00 1.014316577738383785e+03
1.211100000000000065e+00 1.059354168400348271e+03
1.229700000000000015e+00 1.108778040374594866e+03
1.248299999999999965e+00 1.160374444075527890e+03
