thickness(m),SLME(%)
1e-08,0.019587075542601886
1.3257113655901082e-08,0.025374170266116478
1.757510624854793e-08,0.032654604244379416
2.329951810515372e-08,0.04168251450735474
3.0888435964774783e-08,0.05268416932692714
4.0949150623804276e-08,0.06582058143908572
5.4286754393238595e-08,0.08114920966350801
7.196856730011513e-08,0.09859618790416425
9.540954763499944e-08,0.11794875593198027
1.2648552168552957e-07,0.1388676651989265
1.67683293681101e-07,0.16090805529220134
2.2229964825261955e-07,0.18353507244252554
2.94705170255181e-07,0.2061252012145939
3.906939937054621e-07,0.22795406261357354
5.179474679231213e-07,0.2482088874245484
6.866488450042998e-07,0.2660959054978194
9.102981779915227e-07,0.281024698854369
1.2067926406393288e-06,0.29271959621927174
1.5998587196060574e-06,0.3011873761360519
2.1209508879201924e-06,0.30667260464359714
2.811768697974231e-06,0.30969395308892134
3.727593720314938e-06,0.3110196735299587
4.941713361323839e-06,0.31144777803817475
6.5512855685955095e-06,0.3115400443859154
8.68511373751352e-06,0.31155177721348526
1.1513953993264481e-05,0.31155252922907617
1.5264179671752335e-05,0.31155254904408103
2.0235896477251556e-05,0.31155254920835235
2.6826957952797274e-05,0.3115525492086531
3.5564803062231284e-05,0.31155254920865316
4.71486636345739e-05,0.31155254920865316
6.250551925273976e-05,0.31155254920865316
8.286427728546843e-05,0.31155254920865316
0.00010985411419875573,0.31155254920865316
0.00014563484775012445,0.31155254920865316
0.00019306977288832496,0.31155254920865316
0.00025595479226995333,0.31155254920865316
0.000339322177189533,0.31155254920865316
0.0004498432668969444,0.31155254920865316
0.0005963623316594637,0.31155254920865316
0.0007906043210907702,0.31155254920865316
0.0010481131341546852,0.31155254920865316
0.001389495494373136,0.31155254920865316
0.0018420699693267163,0.31155254920865316
0.0024420530945486497,0.31155254920865316
0.00323745754281764,0.31155254920865316
0.004291934260128779,0.31155254920865316
0.005689866029018293,0.31155254920865316
0.0075431200633546075,0.31155254920865316
0.01,0.31155254920865316
